,discord,online_members,total_members
0,F2QygWVu87,7488,10030
1,pixelnerdz,38,1392
2,qRcQ9sX2HF,233,1821
3,dJbcmeaHbT,413,4240
4,successmetacity,472,5991
5,ZucMYrEQhR,733,4891
6,chubbycatnft,1608,5372
7,nftsumantria,5255,28931
8,originbeast,186,1892
9,An5ANqqe9p,7488,10030
10,EZHkGScKkC,513,617
11,WWPgcmqb9x,203,279
12,jAqbvKjXK5,490,7056
13,rc3nwqgqzt,2102,11654
14,4hDDF8rQsA,31,610
15,spacecadetsnft,361,4558
16,dopeapes,2001,15204
17,QefaFSNgKr,703,10067
18,gpv4TZ2dJt,1953,24254
19,uhr2uU6GVf,29,364
20,kvU3ZtNxMP,507,2585
21,XFUaypfJ8n,56,234
22,,749,5290
23,YF3YEvchcA,3760,25113
24,s2mKrtGeQx,3,22
25,4GE9rYnv34,2038,7835
26,cinemaapes,38,156
27,SSRxgvJNRM,69,2620
28,E2e8smHGek,1973,12557
29,metasyndicate,1563,19513
30,RHINOSAVANNANFT,1812,8916
31,5gEYH8KyFz,280,959
32,metasurvivors,12,143
33,EuYRUf5H7v,493,2480
34,chicmami,333,4816
35,SncCt9xwJQ,54,267
36,hfh,482,4214
37,BSKebxFkYm,46,686
38,8AUUdbgJCQ,32,1220
39,FsPjJcXTPX,16,111
40,G2mC65DPRJ,63,1728
41,DsSynP6DFu,275,1118
42,wr4gVc5h2u,2640,15663
43,oneandzero,178,788
44,Sg7Y6xu5bA,376,4985
45,FBc7dXhz9b,446,2431
46,dreamerz,399,2038
47,VYcfGq4nBn,10,35
48,lootbox,210,3157
49,kxW4XCb4YD,486,3819
50,BPnJmZaGBS,79,362
51,ntXfbjUvgh,9,43
52,tunies,220,1913
53,BqQeCqM9BW,30,314
54,PuEBAzB3h9,1001,12091
55,mutanthapeprime,1993,8234
56,ejaVjSw9aD,449,3668
57,Valorien,262,2554
58,puffworld,13200,86161
59,96QBSE4j59,71,863
60,AMb9q25kb7,106,5797
61,vkF8jycxxw,5,35
62,CDWQVEPSCF,360,2900
63,solrealty,1423,9785
64,kqHRqQwuyp,119,739
65,yoomoota,8450,38509
66,4vzQFhya,213,1437
67,kM7FhFdVyy,278,5075
68,aTzMGs3GxZ,214,4865
69,8aVXmMeep9,1070,10500
70,RZCTpe54t3,79,665
71,thehumanians,11641,52711
72,Kj9GuuqFEq,4,18
73,KTKWFtkq7m,2804,4735
74,retrorollers,6901,21818
75,7enfpkVPBf,846,4851
76,alphaaliens,154,1372
77,SHIBAYC,895,8996
78,Qe4hX2bS3A,16,87
79,sHqaUNpvR6,12,68
80,Q9UxeGTJyP,8,47
81,nftcombinator,23,80
82,JynUTRszHF,20,140
83,bRXKgVdBHU,21,58
84,jjMuncsZgX,317,2454
85,KbSfMYuMZ2,647,3393
86,pixa,232,1137
87,Pve3rmKpxN,58,375
88,fp7YcceDsV,710,14450
89,pqkGKNfKtK,16,77
90,reseau,9081,50164
91,dinokids,209,4260
92,qYQ9R48Srh,41,87
93,EJy9NKh3gH,620,4003
94,sadboysclub,191,2412
95,CvzeC9fZDS,156,542
96,meta-xstudios,150,613
97,7JzgwYDJht,469,4229
98,yellowfames,612,10838
99,2z5PpXsS2K,87,15934
100,McphYRHMTA,1908,7720
101,m9tDVzAXDS,2272,8566
102,Cj42Smu9Q5,18,237
103,6nkDMCEWWV,1336,6263
104,qzZ3SpDVUU,199,1032
105,fbsXxBaKCm,13,23
106,HPRy95aJ2r,268,8774
107,ywW8xDHMvU,96,837
108,7HRyXby2XA,622,1773
109,mutanthamsters,24,159
110,3A7dj5wtDq,59,1143
111,sg8VWbmZaK,628,2095
112,KV6qcHmahZ,1413,15734
113,creativefriendz,669,2381
114,PQ5fdTn7hH,95,673
115,jbas,1496,12491
116,bU6wTaAhB8,397,25207
117,cheebs,405,4870
118,RMhMSUkEKs,343,2843
119,p3j8wThf6b,40,5742
120,PR7r8WEd5K,98,464
121,phATapAshn,667,3258
122,AVXkRckW9g,2014,7592
123,demions,546,1577
124,foxnationdao,43,446
125,p8t7bgKzsy,346,5317
126,4MQqef5mnc,737,2155
127,yvRjRrvkMB,104,742
128,labyrinthine,208,1373
129,282sbZnFkQ,25,564
130,MdjqPSHj6X,78,821
131,ptU4uStCC2,29,272
132,KW6BMJm2B9,21,191
133,65wSm9GaWb,19,81
134,CR3E3YEvUF,125,1758
135,monkchains,3375,20348
136,5F9FAuR5GC,137,1631
137,DUcbbFgMBW,380,1052
138,qpNedkn4D5,62,1119
139,5QGBX95Evh,47,832
140,xNQXPrJxAA,71,1960
141,tJBKzVfvBK,74,442
142,denizen,606,1553
143,mXkAttjYey,65,1107
144,glodyknights,267,1829
145,cyberzillaz,619,2727
146,dFRKMM6P3Q,163,2281
147,mkVcDGn2e9,186,1847
148,CGmAuACtRh,350,1125
149,z7HFNAJkeY,9,49
150,PkardUkwKZ,240,2245
151,caverncores,16,51
152,T6ZeUpxjTU,663,7022
153,DmZSshnct4,2,45
154,FAA65MbNpg,21,1616
155,4bfvEMKSDE,223,648
156,GAJPfv5Vpu,7,34
157,nUWhtExCkw,40,1207
158,976DrsZtk7,42,1885
159,eAgqaA9Rrn,215,7969
160,P4DscBhgZp,25,1895
161,poc-nft,1854,14602
162,rjsz6sKz63,12,43
163,7PaBK6BbAj,49,393
164,VpTqJ9a9h7,152,859
165,CeYnqPgjnq,16,4578
166,HrAeKG2YXM,118,985
167,hbkRgEczBw,18,102
168,VXdgAJkHDE,84,1000
169,JtwEZyAwcW,30,215
170,UKrhGketaN,42,153
171,dWtHVszbMe,56,296
172,bjMj23bFZQ,216,573
173,VDdk4YdRgH,148,4522
174,wjutTte6sW,273,1064
175,wrappedhotels,4752,60677
176,xxX7MUTfhp,46,758
177,karmacats,6714,32298
178,82TKe2swvZ,272,1977
