,name,image_urls,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
0,Cat People,"['https://upcoming.images.rarity.tools/catpeople_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catpeople_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catpeople_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catpeople_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catpeople_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catpeople_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catpeople_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catpeople_4?width=150&optimizer=image']",9999,ETH,True,0.1,,0.1,,catpeople,catpeoplenft,https://Https://www.Catpeople.io
1,Golden Tamariners,"['https://upcoming.images.rarity.tools/goldentamariners_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goldentamariners_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goldentamariners_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goldentamariners_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goldentamariners_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goldentamariners_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goldentamariners_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goldentamariners_4?width=150&optimizer=image']",5000,ETH,False,,,,,F8N33quurD,goldentamariner,https://www.goldentamariners.com
2,Lunar Colony Alpha,"['https://upcoming.images.rarity.tools/lunarcolonyalpha_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/lunarcolonyalpha_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/lunarcolonyalpha_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/lunarcolonyalpha_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/lunarcolonyalpha_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/lunarcolonyalpha_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/lunarcolonyalpha_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/lunarcolonyalpha_4?width=150&optimizer=image']",10000,ETH,False,,,,,xj3m8k8nFX,LCAlpha,https://lca.m00n.city/
3,BUNNY X CLUB,"['https://upcoming.images.rarity.tools/bunnyxclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/bunnyxclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/bunnyxclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/bunnyxclub_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/bunnyxclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/bunnyxclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/bunnyxclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/bunnyxclub_4?width=150&optimizer=image']",8000,ETH,False,,,,,u9hrymUEM8,bunnyxnft,https://www.bunny-x.com/
4,Baby Doodle Apes,"['https://upcoming.images.rarity.tools/babydoodleapes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/babydoodleapes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/babydoodleapes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/babydoodleapes_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/babydoodleapes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/babydoodleapes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/babydoodleapes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/babydoodleapes_4?width=150&optimizer=image']",3333,ETH,True,0.0,,0.0,,babydoodleapes,babydoodleapes,https://babydoodleapes.io/
5,Alpha Droids,"['https://upcoming.images.rarity.tools/alphadroids_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/alphadroids_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/alphadroids_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/alphadroids_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/alphadroids_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/alphadroids_3?width=150&optimizer=image']",5555,ETH,False,,,,,QCC9FVDCXa,AlphaDroids,https://www.alphadroids.io/
6,Skate Punks Club,"['https://upcoming.images.rarity.tools/skatepunksclubnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/skatepunksclubnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/skatepunksclubnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/skatepunksclubnft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/skatepunksclubnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/skatepunksclubnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/skatepunksclubnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/skatepunksclubnft_4?width=150&optimizer=image']",10000,ETH,True,0.05,2022-03-04 00:00:00,0.05,2022-03-04 00:00:00,ydphjBWX78,skatepunksclub,https://www.skatepunks.club
7,Cozy Bears,"['https://upcoming.images.rarity.tools/cozybears_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cozybears_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cozybears_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cozybears_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cozybears_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cozybears_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cozybears_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cozybears_4?width=150&optimizer=image']",8888,ETH,False,,,,,KNsQDNqukB,cozybearsdao,https://cozybears.io/
8,Magpie Moguls,"['https://upcoming.images.rarity.tools/magpiemogulsnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/magpiemogulsnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/magpiemogulsnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/magpiemogulsnft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/magpiemogulsnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/magpiemogulsnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/magpiemogulsnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/magpiemogulsnft_4?width=150&optimizer=image']",4444,SOL,False,,,,,cKyCcX7Fby,MagpieMoguls,https://www.magpiemoguls.com/
9,Billionaire Women NFTs,"['https://upcoming.images.rarity.tools/billionairewomen_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/billionairewomen_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/billionairewomen_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/billionairewomen_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/billionairewomen_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/billionairewomen_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/billionairewomen_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/billionairewomen_4?width=150&optimizer=image']",9786,ETH,True,0.14,,0.14,,vQEWt2q5yP,Billionaire_Wmn,https://www.billionairewomennfts.com/
