,name,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
0,Good Monkeyz,10000.0,ETH,False,,,,,goodmonkeyz,goodmonkeyz,https://goodmonkeyz.art
1,WOMEN RIGHT CLUB,10000.0,ETH,False,,,,,saMaKYedTt,womenrightclub,https://womensrightnft.io/
2,GreenBudKillersClub,420.0,ETH,False,,,,,jWNmMH7Z9U,greenbudkillers,https://greenbudkillers.club
3,Bad Putin NFT,9999.0,,True,,2022-04-21 11:00:00,,2022-04-21 11:00:00,AaZQk4RXSD,BadPutinNFT,https://www.badputin.io/
4,Angryfrogs,10000.0,,False,,,,,mzgxtECh93,Angryfrogsnft,https://angryfrogs.io/
5,Funky Bunnies,3333.0,ETH,False,,,,,funkybunnies,funkybunnies3d,https://funkybunnies.xyz
6,BoarWar is a collectible card game,8000.0,ETH,True,0.03,2022-04-21 14:00:00,0.03,2022-04-21 14:00:00,tWpgZPTF54,Boar_War_NFT,http://boarwar.io
7,Sayre,5555.0,ETH,False,,,,,Sayre,sayre_project,https://thesayreproject.com/
8,The Assembly Vol. 3: The Mayans,1000.0,SOL,True,2.0,2022-04-21 16:00:00,2.0,2022-04-21 16:00:00,yaDcK9J5ze,theassemblynft,https://theassembly.gg/
9,CyberCatz,10000.0,ETH,False,,,,,je3Z69XTA4,CyberCatz_,https://cybercatznft.io/
10,Meta Friends,3333.0,ETH,False,,,,,e27AAT7CXB,MetaFriendsNFT,https://www.metafriendsnft.io/
11,Bear Cartel,6666.0,ETH,True,0.08,,0.08,,bearcartel,nftbearcartel,http://bearcartel.club/
12,VOLTZ,9999.0,,True,,2022-04-21 00:00:00,,2022-04-21 00:00:00,cunnqtDUkv,voltz_me,https://voltz.me/en/
13,magical mothers,2222.0,ETH,False,,,,,DtvZX9Zu,magicalmothers_,https://www.magicalmothers.art/
14,MoBioZ,8888.0,ETH,False,,,,,mobioz,mobioz,https://www.mobioz.io
15,SupGators,10000.0,ETH,False,,,,,supgators,supgators,https://www.supgators.com/
16,DIGIFOLK,10000.0,ETH,False,,,,,M3eRt6R,DigiFolkNFT,https://digifolk.io/
