,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,,2022-04-30 09:00:00,,2022-04-30 09:00:00,3742,10791,1402,2022-04-02 00:00:00
1,,2022-04-30 09:00:00,,2022-04-30 09:00:00,3977,12106,1119,2022-04-09 00:00:00
2,,2022-04-30 09:00:00,,2022-04-30 09:00:00,4104,13541,1244,2022-04-13 00:00:00
3,,2022-04-30 09:00:00,,2022-04-30 09:00:00,4357,15571,1315,2022-04-18 00:00:00
4,,2022-04-30 09:00:00,,2022-04-30 09:00:00,4580,16002,1374,2022-04-19 00:00:00
5,,2022-04-30 09:00:00,,2022-04-30 09:00:00,4717,16002,1366,2022-04-20 00:00:00
6,,2022-04-30 09:00:00,,2022-04-30 09:00:00,4734,16594,1438,2022-04-22 00:00:00
7,,2022-04-30 09:00:00,,2022-04-30 09:00:00,5211,17603,1929,2022-04-25 00:00:00
8,,2022-04-30 09:00:00,,2022-04-30 09:00:00,5227,20250,2124,2022-04-27 00:00:00
9,,2022-04-30 09:00:00,,2022-04-30 09:00:00,5294,23102,2130,2022-04-29 00:00:00
10,,2022-04-30 09:00:00,,2022-04-30 09:00:00,5314,24254,1953,2022-04-30 00:00:00
