,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.04,2022-04-29 00:00:00,0.04,2022-04-29 00:00:00,2196,3840,369,2022-04-02 00:00:00
1,0.04,2022-04-29 00:00:00,0.04,2022-04-29 00:00:00,2285,3904,347,2022-04-09 00:00:00
2,0.04,2022-04-29 00:00:00,0.04,2022-04-29 00:00:00,2332,3988,313,2022-04-13 00:00:00
3,0.04,2022-04-29 00:00:00,0.04,2022-04-29 00:00:00,2342,4045,387,2022-04-18 00:00:00
4,0.04,2022-04-29 00:00:00,0.04,2022-04-29 00:00:00,2350,4067,394,2022-04-19 00:00:00
5,0.04,2022-04-29 00:00:00,0.04,2022-04-29 00:00:00,2349,4089,346,2022-04-20 00:00:00
6,0.04,2022-04-29 00:00:00,0.04,2022-04-29 00:00:00,2350,4093,362,2022-04-22 00:00:00
7,0.04,2022-04-29 00:00:00,0.04,2022-04-29 00:00:00,2358,4145,496,2022-04-25 00:00:00
8,0.04,2022-04-29 00:00:00,0.04,2022-04-29 00:00:00,2393,4172,517,2022-04-27 00:00:00
9,0.04,2022-04-29 00:00:00,0.04,2022-04-29 00:00:00,2419,4268,547,2022-04-29 00:00:00
10,0.04,,0.04,,2428,4214,482,2022-04-30 00:00:00
