,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.09,2022-04-27 14:00:00,0.09,2022-04-27 14:00:00,1180,1347,204,2022-04-02 00:00:00
1,0.09,2022-04-27 14:00:00,0.09,2022-04-27 14:00:00,1324,2064,185,2022-04-09 00:00:00
2,0.09,2022-04-27 14:00:00,0.09,2022-04-27 14:00:00,1304,2279,244,2022-04-13 00:00:00
3,0.09,2022-04-27 14:00:00,0.09,2022-04-27 14:00:00,1320,4566,331,2022-04-18 00:00:00
4,0.09,2022-04-27 14:00:00,0.09,2022-04-27 14:00:00,1284,4640,332,2022-04-19 00:00:00
5,0.09,2022-04-27 14:00:00,0.09,2022-04-27 14:00:00,1278,4598,362,2022-04-20 00:00:00
6,0.09,2022-04-27 14:00:00,0.09,2022-04-27 14:00:00,1288,5058,422,2022-04-22 00:00:00
7,0.09,2022-04-27 14:00:00,0.09,2022-04-27 14:00:00,1294,6432,604,2022-04-25 00:00:00
8,0.09,2022-04-27 14:00:00,0.09,2022-04-27 14:00:00,1267,6210,515,2022-04-27 00:00:00
9,0.09,,0.09,,1285,6045,510,2022-04-29 00:00:00
10,0.09,,0.09,,1285,5991,472,2022-04-30 00:00:00
