,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.15,2022-04-15 00:00:00,0.15,2022-04-15 00:00:00,1428,2136,49,2022-04-02 00:00:00
1,0.15,2022-04-15 00:00:00,0.15,2022-04-15 00:00:00,1547,3753,114,2022-04-09 00:00:00
2,0.15,2022-04-15 00:00:00,0.15,2022-04-15 00:00:00,11600,8485,518,2022-04-13 00:00:00
3,0.15,,0.15,,12900,9848,562,2022-04-18 00:00:00
4,0.15,,0.15,,12800,9359,558,2022-04-19 00:00:00
5,0.15,,0.15,,12500,8780,597,2022-04-20 00:00:00
6,0.15,,0.15,,12600,8371,519,2022-04-22 00:00:00
7,0.15,,0.15,,12200,7667,510,2022-04-25 00:00:00
8,0.15,,0.15,,12000,7352,539,2022-04-27 00:00:00
9,0.15,,0.15,,11300,7187,498,2022-04-29 00:00:00
10,0.15,,0.15,,11100,7056,490,2022-04-30 00:00:00
