,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.05,2022-04-22 00:00:00,0.05,2022-04-22 00:00:00,4321,1649,285,2022-04-02 00:00:00
1,0.05,2022-04-22 00:00:00,0.05,2022-04-22 00:00:00,6424,2009,194,2022-04-09 00:00:00
2,0.05,2022-04-22 00:00:00,0.05,2022-04-22 00:00:00,6399,1979,232,2022-04-13 00:00:00
3,0.05,2022-04-22 00:00:00,0.05,2022-04-22 00:00:00,6580,2163,271,2022-04-18 00:00:00
4,0.05,2022-04-22 00:00:00,0.05,2022-04-22 00:00:00,6440,2167,265,2022-04-19 00:00:00
5,0.05,2022-04-22 00:00:00,0.05,2022-04-22 00:00:00,6389,2196,268,2022-04-20 00:00:00
6,0.05,2022-04-22 00:00:00,0.05,2022-04-22 00:00:00,6393,2432,254,2022-04-22 00:00:00
7,0.045,,0.045,,6390,2544,301,2022-04-25 00:00:00
8,0.045,,0.045,,6212,2578,339,2022-04-27 00:00:00
9,0.045,,0.045,,6190,2566,285,2022-04-29 00:00:00
10,0.045,,0.045,,6190,2554,262,2022-04-30 00:00:00
