,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.05,,0.05,,65,11,4,2022-04-09 00:00:00
1,0.05,,0.05,,71,32,8,2022-04-13 00:00:00
2,0.05,,0.05,,780,52,8,2022-04-18 00:00:00
3,0.05,,0.05,,857,55,13,2022-04-19 00:00:00
4,0.05,,0.05,,844,55,13,2022-04-20 00:00:00
5,0.05,,0.05,,848,58,16,2022-04-22 00:00:00
6,0.05,,0.05,,831,60,16,2022-04-25 00:00:00
7,0.05,,0.05,,825,67,15,2022-04-27 00:00:00
8,0.05,,0.05,,822,67,14,2022-04-29 00:00:00
9,0.05,,0.05,,821,68,12,2022-04-30 00:00:00
