,twitter,followers
0,ksekainft,16800
1,TheBloxPrimeNFT,10800
2,,8987
3,meta_blaze,23900
4,TheCryptomasks,3570
5,TheWorldofBill_,6309
6,MetaComiClub,39000
7,MedievalCatsNFT,1212
8,ZalesNFT,6849
9,dorks_nft,14100
10,Thiccfrens,22300
11,DinoKidsClub,1105
12,MMansionnft,5390
13,metapugsnft,17700
14,officialbeu,34
15,BooThingsNFT,4045
16,moon_babes,3286
17,sadboysclubNFT,14200
18,dragonzillas,8287
19,pharagods,34600
20,PLAYLOREMC,11500
21,LooseMooseCrew,8417
22,BitButts,1396
23,Hyundai_NFT,87300
24,shroomersnft,2156
25,TrexSapiensOrd,18100
26,yellowfames,3796
27,CRYPT056,131700
28,Shukuna__nft,6235
29,OctoRaidersNFT,16400
30,APB_Club,9165
31,crypto_gnomes,18300
32,FuryBandits,16100
33,ApesRainbow,480
34,SadKittens_,392
35,GrizzlyForceNFT?t=Wbk09X1B-3tw-MXRVtKWzw&s=08,1622
36,imaginaryballs,2159
37,NftNoahsArk,7567
38,PlutoPeopleNFT,3426
39,HapeTeens,8632
40,martian_monkeys ,719
41,NorowaretaUchu,6137
42,TheUncannyClub,11700
43,ChihuahuaNFT,4583
44,SatoshisGirls,9116
45,cryptosklletons,9443
46,metagretanft,91
47,RovingDogsNFT,11200
48,killerwaifunfts,361
49,TheLostCatsNft,666
50,WastedWhales,23700
51,girlsinpinknft,5702
52,ACDealerNFT,9745
53,SeaTurtleSocial,1909
54,ada_nauts,3046
55,betplacersclub,1797
56,CryptornNFT,49
57,LostDinoArk,3761
58,MutantHamsters,52900
59,nohesicarclub,4538
60,DroppiesWorld,4701
61,bbboars,1100
62,innermesNFT,1098
63,BlitzedBucksNFT,11600
64,MadVeggies,1910
65,ApesGenX,24400
66,ricracclub,7122
67,CreativeFriendz,3795
68,Darkland_creat,2780
69,FurryFriends_io,416
70,Japanese_BAPES,20100
71,doombooNFT,144900
72,MagicCraftGame,73400
73,metaversemoon,51700
74,chillnchameleon,15800
75,cheebsnft,6268
76,flowerlolitanft,13900
77,SCAlienRulers,2959
78,9tales_NFT,121900
79,doodleslayernft,766
80,PoshFrenchie,1930
81,Streetlab_io,7318
82,RogueDiceClub,19900
83,tradebots_sol,20800
84,DemionsNFT,6195
85,FoxNationDAO,2216
86,CthulhuCA22,11700
87,NftZoko,3187
88,minimonkeymafia,7735
89,NFTKickFlip,10900
90,Web3WizardsNFT,7372
91,drsniffynft,10200
92,WorldsCollect,356
93,DroopyApes,4960
94,FatCatsDao,28300
95,BB01NFT,7531
96,SolMightyPirate,13600
97,MetaVolutionNFT,42000
98,BooniesSkullNFT,468
99,LabyrinthUnreal,2850
100,MetaHookahs,15100
101,vagabondeclub,1241
102,metafliesclub,342
103,MafiaBearsNFT,192
104,MirageLand_NFT,4185
105,rotten_ville,8387
106,GodsofEgyptNFT,356
107,ApeVampires,10400
108,DeviantAlienNFT,2240
109,FancySlothClub,3294
110,DreamyGirlsNFT,16700
111,senshinfts,1739
112,SkullDemolition,568
113,FinalHumans,5886
114,LittleWomen_NFT,11900
115,monkchains,13500
116,WildFoxSquadNFT,972
117,cityofgold_io,6645
118,otters_universe,2310
119,huesnft,3650
120,CreatureCultur3,1146
121,gymratelephants,4557
122,Last_Mayan_NFT,252
123,DodgerNft,1980
124,XkartR,2178
125,denizenio,6443
126,dummy_vegs,3349
127,ChunkyBuddhas,5220
128,GlodyKnightsNFT,3316
129,anydings,84
130,CyberZillaz,6398
131,MiniMooNFT,1603
132,LittlezProject,1713
133,wethekidsNFT,576
134,poninisnft,99
135,burgerheadznft,66
136,badbullsnft,2994
137,rhelegus,11400
138,NFTgeisha,15000
139,catmobstaz,5650
140,zelenskiynft,20800
141,CavernCores,82
142,thelostbitcoins,7919
143,aith3r3al,5851
144,CroodApesArmy,1135
145,CoolAstronauts,4972
146,martian_colony,72
147,vianijoe,50
148,applefriends6,971
149,BullishTrendCo,150
150,SillyPineClub?t=188UtJhUVPjT-5iuh75U8w&s=09,2971
151,Arcadmverse,103
152,CountryApeSquad,72
153,fancyfoxassoc,13900
154,thechosenonesio,245
155,DribblieGame,12100
156,fish_sticksnft,7691
157,AnimAllsNFT,43
158,survivorsnft,15900
159,PoC_NFT,23600
160,GhoniesCrypto,498
161,myworld_nft,11800
162,sewersquadnft,7762
163,AKCPixel,114
164,thebruhz,6112
165,CrypTickzNFT,2500
166,HailaryNft,12300
167,SolCoins,28500
168,nftsumantria,10100
169,ploddingpirates,4492
170,apeventuresnft,1414
171,EnterTheYama,1538
172,GorillaGoMobile,321
173,FreekyFruits,39
174,drinkingtrees,24300
175,PrimoMartians,653
176,SBR_nft,2244
177,The_IslandNFT,9899
178,allseeinglemon,330
179,womanofsolana,812
180,Crypxel_NFT,288
181,figurecatnft,44
182,listlords,442
183,LuckyMonkNFTs,815
184,crypto_cafenfts,528
185,metalodons_club,4121
186,zdc_project,5530
187,1_AwesomePossum,5267
188,Squid_Academy,25300
189,sixthreseau,189000
190,CoolGorillaBC,237
191,MetaCutiesNFT,6629
192,FloatyzNFT,1400
