,discord,online_members,total_members
0,robomito,1342,6604
1,jvubZDVekP,12,808
2,HQ7VP8Tk9B,23,1951
3,KNjESbWE8S,497,12748
4,uPNpHb9vxq,46,656
5,CvQcwe622z,26,1116
6,XUTwJQJtyd,14,76
7,hANZGngqEv,66,737
8,BDc6EtrQTK,158,2722
9,4BV899S9Gm,111,2651
10,dJbcmeaHbT,325,5435
11,mfriendsnft,1003,3992
12,happyboysarcade,541,6338
13,cyberpunkclones,499,8263
14,6HMEQgeFsn,49,368
15,twistedbears,19343,103309
16,musicbearawards,4865,39745
17,TEbReJgcSB,125,294
18,fW6bCtxGs3,14,112
19,EwZuKxknRh,1004,6258
20,dXXTXTyxV6,20,131
21,wTQUKSG5nV,417,2761
22,DXyZwNHsQj,16,74
23,FVeUz9M67m,1880,5373
24,u62rRVSKK4,9334,107560
25,digitalapeclub,4757,49877
26,ZcUgmMaAtP,32,121
27,MyPixelClub,155,975
28,dreamlandcoliseum,72,545
29,FXG46z2a6D,952,7422
30,picadogsnft,566,10640
31,warriorlion,399,10844
32,midesx,1042,13091
33,hornymals,334,1401
34,losmuertos,10543,31847
35,Edb7DmS8Kj,297,7447
36,V4Wm9PaAnh,192,1390
37,mwSQcbfV89,29,133
38,ntc,5883,46800
39,zV434MShF3,1302,3704
40,qxnmxFDjpq,561,8922
41,F52kZsKSH7,219,2604
42,cryptoilluminati777,204,2015
43,QpTXzkdhY7,204,2764
44,eFuSmR7deS,60,1174
45,gBphrYNF8B,459,5392
46,AtKSyTgK8J,359,9917
47,superapeuniversity,987,13810
48,Q9KEF4SH49,487,2317
49,femmesbizarre,63,344
50,shinsekai,15902,78906
51,7EtsbFbKsU,62,699
52,XWvmp4NpnN,279,4405
53,YZyxRAJGmC,5,23
54,8c586vd8hs,160,1516
55,QWKZd3krGM,391,11072
56,qpNedkn4D5,15,638
57,fRzZgDdzcp,26,189
58,bitlectro,1272,7341
59,supermetaplus,347,2752
60,metasurvivors,1218,14536
61,BhVdueKm3U,642,18274
62,pBvYy6C6ev,1110,18106
63,saucyunicorns,579,4003
64,pulseapp,403,1483
65,eWf2z8vc9g,57,1795
66,JuFKHCvvgx,775,10589
67,NVUhtfFjum,6,42
68,jTapCSDMce,1388,10309
69,Bv4k7npwM2,27,189
70,HuZm8GEvBM,29,132
71,2zWxwGbpNk,20,129
72,yZzduzwJBB,268,4383
73,fullbellyclub,334,9180
74,hapegirls,6975,28042
75,cheebs,462,4267
76,v8fyBScyeT,448,11146
77,ccdc,33,777
78,QYUwESDWa6,1363,10280
79,kevinthemonkey,404,2455
80,dypcaws,383,5037
81,2CYRCUNQns,15,231
82,VpTqJ9a9h7,10,530
83,83QxAxbKsF,2,363
84,sqwizz,184,936
85,Sg7Y6xu5bA,336,3111
86,x8j32mZmDv,32,3096
87,46DqE5hrQq,738,2556
88,EnbXcjanWT,622,2827
89,dpdDMepYMJ,2537,18003
90,royalcrows,1302,12063
91,4eb9aVTYjc,165,5046
92,sr2VTYBNfg,59,587
93,ZYKWPhjvEZ,161,3278
94,QYxwK8Te8P,408,4726
95,KCEdyYWM4M,54,493
96,x3eNUytEHg,2098,10358
97,ubwqS64v73,9,123
98,jAqbvKjXK5,49,2136
99,mutantsquad,1248,6581
100,EQ8gD9c5Aw,218,2406
101,PR7r8WEd5K,96,324
102,rRrnHCQsvn,762,13160
103,uRMMdaNKFv,1064,3524
104,MetaF1Club,3115,19738
105,fzxWzpvG73,100,730
106,DH6vaGzYH3,451,1992
107,unifriends,336,2007
108,ywvZjzCCVt,287,18708
109,fPvZWjahZZ,2141,9182
110,gqbqnGMv5x,222,2219
111,xb9t3CRxYG,1343,3398
112,CmuHpcaWFy,137,818
113,989VTDkxQZ,107,3092
114,sg8VWbmZaK,534,1412
115,8pgVATSD9k,139,4504
116,smurfzillaz,106,1858
117,meta-nomads,48,214
118,ukiyoplayers,2930,11260
119,yaDcK9J5ze,472,13851
120,metaversesociety,135,1091
121,supgators,236,4104
122,neonplexus,1610,6407
123,ethxai,2344,13693
124,HjnVyxydv9,714,5536
125,Valorien,285,1649
126,mt8yzgVxrS,39,254
127,misfitsapesociety,315,9496
128,GyNfcuzSar,109,2215
129,TSeJ9G2p8B,721,9748
130,kvU3ZtNxMP,142,935
131,haddiesbayclub,45,2875
132,hw74eVH7da,512,2182
133,silks,860,8890
134,CyxygNw65x,35,200
135,successmetacity,204,1347
136,feggz,1172,13217
137,KS2jGN6drD,265,4620
138,nftsumantria,3121,15673
139,hfh,369,3840
140,BSKebxFkYm,25,194
141,dreamerz,67,518
142,pixa,196,977
143,dinokids,255,4459
144,KV6qcHmahZ,1212,11526
145,7PaBK6BbAj,30,173
146,UKrhGketaN,6,26
147,cyberzillaz,836,2433
148,HrAeKG2YXM,70,664
149,glodyknights,372,1431
150,BBvQvEfuMd,9,15
151,uNhw3DApYa,20,84
152,zr9kceJmxZ,48,1501
153,wRNU3NqNp6,238,933
154,,731,5221
155,4yvf2japt2,111,666
156,AtlanticVoyageApeClub,1729,9288
157,waifuharemclub,2657,13585
158,aQvB4u7gWm,156,2237
159,stubbornapesociety ,854,20936
160,HUAprVRQD2,53,301
161,chApf4xjGC,3495,13305
162,lgm,1924,14326
163,mDNN9rfAmB,13,291
164,8aVXmMeep9,962,6119
165,munchiemafia,89,3344
166,V2XpPQEkFQ,62,1080
167,gpv4TZ2dJt,1402,10791
168,xxX7MUTfhp,40,707
169,metasyndicate,894,8081
