,currency,discord,has_presale,image_urls,name,presale_date,presale_price,quantity,release_date,starting_price,twitter,website
0,ETH,ascnft,False,"['https://upcoming.images.rarity.tools/allstarclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/allstarclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/allstarclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/allstarclub_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/allstarclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/allstarclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/allstarclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/allstarclub_4?width=150&optimizer=image']",All Stars Club,,,7777,,,allstarsclubnft,https://www.allstarsclubnft.com
1,ETH,bssc,True,"['https://upcoming.images.rarity.tools/timetraveltots_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/timetraveltots_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/timetraveltots_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/timetraveltots_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/timetraveltots_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/timetraveltots_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/timetraveltots_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/timetraveltots_4?width=150&optimizer=image']",Time Travel Tots,2022-02-03 04:00:00,0.02,7777,2022-02-03 04:00:00,0.02,BlackSheepSCNFT,https://blacksheepsocial.club
2,SOL,W3WarEWfXu,True,"['https://upcoming.images.rarity.tools/SolMeepsa_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolMeepsa_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolMeepsa_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolMeepsa_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolMeepsa_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolMeepsa_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolMeepsa_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolMeepsa_4?width=150&optimizer=image']",Sol Meeps,2022-02-03 06:00:00,0.5,1500,2022-02-03 06:00:00,0.5,solmeeps,https://solmeeps.app
3,ETH,TQcGCrGDxd,False,"['https://upcoming.images.rarity.tools/irlapes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/irlapes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/irlapes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/irlapes_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/irlapes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/irlapes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/irlapes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/irlapes_4?width=150&optimizer=image']",IRL APES,,,3333,,,irlapes,https://www.irlapesclub.com
4,SOL,surilanas,False,"['https://upcoming.images.rarity.tools/Surilanas_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Surilanas_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Surilanas_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Surilanas_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Surilanas_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Surilanas_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Surilanas_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Surilanas_4?width=150&optimizer=image']",Surilanas,,,5558,,,surilanas,https://surilanas.com
5,ETH,kSr95E3H5e,False,"['https://upcoming.images.rarity.tools/MetaManiacs_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/MetaManiacs_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/MetaManiacs_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/MetaManiacs_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/MetaManiacs_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/MetaManiacs_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/MetaManiacs_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/MetaManiacs_4?width=150&optimizer=image']",Meta Maniacs,,,10000,,,MetaManiacs_NFT,https://www.metamaniacsnft.com/
6,ETH,womenofcryptonft,False,"['https://upcoming.images.rarity.tools/womenofcrypto_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/womenofcrypto_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/womenofcrypto_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/womenofcrypto_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/womenofcrypto_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/womenofcrypto_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/womenofcrypto_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/womenofcrypto_4?width=150&optimizer=image']",Women of Crypto,,,8888,,,womenofcrypto_,https://www.womenofcrypto.io
7,ETH,cryptobots,False,"['https://upcoming.images.rarity.tools/cryptobots_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptobots_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptobots_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptobots_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptobots_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptobots_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptobots_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptobots_4?width=150&optimizer=image']",Cryptobots,,,10000,,,cryptobots_game,https://cryptobots.me/
8,ETH,yXD2EBZnu5,False,"['https://upcoming.images.rarity.tools/dachampsnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dachampsnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dachampsnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dachampsnft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dachampsnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dachampsnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dachampsnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dachampsnft_4?width=150&optimizer=image']",Da Champs,,,10080,,,DaChampsNFT,https://www.DaChamps.com
9,ETH,jHZqFPVkUV,False,"['https://upcoming.images.rarity.tools/highcrimesociety_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/highcrimesociety_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/highcrimesociety_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/highcrimesociety_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/highcrimesociety_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/highcrimesociety_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/highcrimesociety_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/highcrimesociety_4?width=150&optimizer=image']",High Crime Society,,,8000,,,HighCrimeNFT,https://highcrimesociety.com/
10,ETH,brokenmachina,False,"['https://upcoming.images.rarity.tools/brokenmachina_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/brokenmachina_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/brokenmachina_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/brokenmachina_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/brokenmachina_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/brokenmachina_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/brokenmachina_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/brokenmachina_4?width=150&optimizer=image']",Broken Machina,,,10000,,,brokenmachina,https://brokenmachina.com
11,ETH,whaletogether,True,"['https://upcoming.images.rarity.tools/whaletogether_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/whaletogether_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/whaletogether_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/whaletogether_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/whaletogether_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/whaletogether_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/whaletogether_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/whaletogether_4?width=150&optimizer=image']",WhaleTogether,2022-02-03 16:00:00,,7777,2022-02-03 16:00:00,,WhaleTogether,https://www.whaletogether.com/
