,name,image_urls,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
0,The BluntHeads,"['https://upcoming.images.rarity.tools/thebluntheads_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/thebluntheads_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/thebluntheads_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/thebluntheads_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/thebluntheads_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/thebluntheads_3?width=150&optimizer=image']",10000,,False,,,,,hkbTvZbShD,The_BluntHeads,https://www.thebluntheads.com
1,SolBee Avatars,"['https://upcoming.images.rarity.tools/solbeeavatars_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solbeeavatars_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solbeeavatars_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solbeeavatars_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solbeeavatars_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solbeeavatars_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solbeeavatars_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solbeeavatars_4?width=150&optimizer=image']",5000,SOL,False,,,,,4U8raeMs4W,beemarkets,https://bee.markets/solbee-avatars/
2,Chicken DAO,"['https://upcoming.images.rarity.tools/chickendao_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/chickendao_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/chickendao_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/chickendao_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/chickendao_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/chickendao_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/chickendao_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/chickendao_4?width=150&optimizer=image']",7777,ETH,False,,,,,mpAKPhHGur,chickendaogame,https://www.chickendao.app
3,Disappointed Fans (DFans) NFT,"['https://upcoming.images.rarity.tools/disappointedfansnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/disappointedfansnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/disappointedfansnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/disappointedfansnft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/disappointedfansnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/disappointedfansnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/disappointedfansnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/disappointedfansnft_4?width=150&optimizer=image']",6464,ETH,True,,2022-03-01 14:00:00,,2022-03-01 14:00:00,8wgh4RJQYh,dfans_nft,https://www.dfans.club
4,Satoshi Runners,"['https://upcoming.images.rarity.tools/satoshirunners_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/satoshirunners_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/satoshirunners_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/satoshirunners_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/satoshirunners_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/satoshirunners_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/satoshirunners_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/satoshirunners_4?width=150&optimizer=image']",7777,ETH,False,,,,,satoshirunners,satoshirunnerz,https://satoshirunners.io
5,The Dystopians,"['https://upcoming.images.rarity.tools/thedystopiansnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/thedystopiansnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/thedystopiansnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/thedystopiansnft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/thedystopiansnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/thedystopiansnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/thedystopiansnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/thedystopiansnft_4?width=150&optimizer=image']",10,ETH,False,,,,,thedystopians,dystopiansnft,https://www.thedystopians.co/
6,Lunar Colony Alpha,"['https://upcoming.images.rarity.tools/lunarcolonyalpha_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/lunarcolonyalpha_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/lunarcolonyalpha_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/lunarcolonyalpha_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/lunarcolonyalpha_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/lunarcolonyalpha_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/lunarcolonyalpha_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/lunarcolonyalpha_4?width=150&optimizer=image']",10000,ETH,True,,2022-03-01 17:00:00,,2022-03-01 17:00:00,xj3m8k8nFX,LCAlpha,https://lca.m00n.city/
7,PΞPΞ BOOM NFT,"['https://upcoming.images.rarity.tools/pepeboom_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/pepeboom_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/pepeboom_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/pepeboom_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/pepeboom_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/pepeboom_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/pepeboom_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/pepeboom_4?width=150&optimizer=image']",10000,ETH,True,0.02,,0.02,,gaFXR2Rd5F,pepeboomnft,https://pepeboom.com/
8,Anti-Ape Association,"['https://upcoming.images.rarity.tools/AAAssociation_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/AAAssociation_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/AAAssociation_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/AAAssociation_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/AAAssociation_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/AAAssociation_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/AAAssociation_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/AAAssociation_4?width=150&optimizer=image']",11111,ETH,False,,,,,anti-ape,antiapeassc,https://www.antiapeassociation.com/
9,BABY APE NURSERY CLUB,"['https://upcoming.images.rarity.tools/babyapenurseryclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/babyapenurseryclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/babyapenurseryclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/babyapenurseryclub_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/babyapenurseryclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/babyapenurseryclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/babyapenurseryclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/babyapenurseryclub_4?width=150&optimizer=image']",10000,ETH,False,,,,,hhnEhXaHca,BabyApeNursery,https://www.babyapenursery.com/
10,Euphorians,"['https://upcoming.images.rarity.tools/euphoriansnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/euphoriansnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/euphoriansnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/euphoriansnft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/euphoriansnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/euphoriansnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/euphoriansnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/euphoriansnft_4?width=150&optimizer=image']",5978,ETH,False,,,,,euphorians,TheEuphorians,https://euphorians.art
11,Drunk Skunks Drinking Club,"['https://upcoming.images.rarity.tools/dsdc_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dsdc_1?width=150&optimizer=image']",5555,ETH,False,,,,,DrunkSkunksDC,DrunkSkunksDC,https://drunkskunksdc.com/
