,name,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
0,Mad Giraffe Gang,5000.0,ETH,False,,,,,madgiraffegang,madgiraffegang,https://madgiraffegang.com/
1,Demions,666.0,ETH,False,,,,,demions,DemionsNFT,https://www.demions.com/
2,Cthulhu Armageddon 2022,8000.0,ETH,False,,,,,cthulhuarmageddon2022,CthulhuCA22,https://ca22.xyz/
3,Dope Skeleton,3000.0,ETH,True,0.03,,0.03,,dRbdWvTYYh,DopeskeletonNFT,https://dopeskeleton.com/
4,Lost Islands,5778.0,,False,,,,,3GDer75Rxq,LostIslandsNFT,https://lostislands.io/
5,Keys & Treasure Chests,9999.0,ETH,False,,,,,Not now,CompanyProfit,https://profitconft.io
6,Baby Mini Monkeys,2500.0,,True,,,,,p8t7bgKzsy,minimonkeymafia,https://www.MiniMonkeyMafia.com
7,Storyworlds,9889.0,ETH,True,,2022-05-17 00:00:00,,2022-05-17 00:00:00,s6Ukq6eU4C ,Storyworlds_xyz,http://storyworldscomic.xyz
8,Cheebs,10000.0,ETH,False,,,,,cheebs,cheebsnft,http://www.cheebsnft.com/
9,Squid Academy,10456.0,SOL,False,,,,,squidacademy,Squid_Academy,https://www.squidacademy.net/
10,KickFlipNFT,4000.0,ETH,False,,,,,kickflipnft,NFTKickFlip,https://kickflipnft.com/
11,Big Brains Club,2000.0,ETH,False,,,,,Uby6HDRRkX,bigbrainsclub,https://www.bigbrainsclub.io/
12,Bored Ape Army Club,6666.0,SOL,False,,,,,boredapearmyclub,BoredApeArmyC,https://www.boredapearmy.com
13,Cryptopunk Bunnies Avatar,4096.0,,False,,,,,fMP3eQXBGa,cpbpixel,https://cryptopunksbunnies.com/
14,Dragon Fam - Web 3 Wizards Collection,1000.0,,True,,2022-05-17 00:00:00,,2022-05-17 00:00:00,4MQqef5mnc,Web3WizardsNFT,https://dragonfamnft.com
15,Dr. Sniffy NFT,10000.0,ETH,True,0.04,2022-05-18 06:00:00,0.04,2022-05-18 06:00:00,drsniffynft,drsniffynft,https://drsniffynft.io
16,Worlds Collective,10000.0,ETH,True,0.05,2022-05-18 07:00:00,0.05,2022-05-18 07:00:00,None,WorldsCollect,https://worldscollective.io/
17,Droopy Apes,4000.0,ETH,True,0.06,2022-05-18 00:00:00,0.06,2022-05-18 00:00:00,yvRjRrvkMB,DroopyApes,http://droopyapes.com/
18,ILYYW x Blankos Collab | Blankos Block Party,1800.0,ETH,False,,,,,playblankos,PlayBlankos,https://news.mythicalgames.com/ilyyw-x-blankos-drops-may-18th
19,Fat Cats,5000.0,ETH,False,,,,,99YpqXsrCv,FatCatsDao,https://www.fatcats.art
20,Influencer of the BB01,10000.0,ETH,True,0.15,2022-05-18 00:00:00,0.15,2022-05-18 00:00:00,planetbb01,BB01NFT,https://bb01-official.com/BB01
21,Mighty Pirates,2888.0,SOL,False,,,,,XunMQBW77z,SolMightyPirate,https://mightypirates.io/
22,SixthRéseau,7777.0,ETH,True,0.16,2022-05-18 00:00:00,0.16,2022-05-18 00:00:00,reseau,sixthreseau,https://www.reseauclo.com/
23,Nordeins,989.0,SOL,True,1.75,2022-05-19 05:00:00,1.75,2022-05-19 05:00:00,nordeins,nordeins,https://www.nordeins.com/
24,Dinosaur Game,5555.0,ETH,True,,2022-05-19 17:00:00,,2022-05-19 17:00:00,ZrxbvmEZ9a,dinosaurgamenft,https://dinosaurgame.xyz/
25,MetaVolution,8778.0,ETH,False,,,,,MetaVolution,MetaVolutionNFT,https://www.metavolution.io/genesis
26,Witlink AI,7000.0,ETH,False,,,,,eYUyCx5YgT,WitlinkA,https://witlink.ai/
27,THE NOMAD(E) DROP Graphene-X First NFT Drop,50.0,ETH,False,,,,,B39UJjmjpz,bnv_me,https://www.bnv.me/campaigns/graphene-x-p1
28,Boonies Skull,5555.0,ETH,False,,,,,Yfrk2qdGhe,BooniesSkullNFT,https://booniesskull.com/
29,Homaland Club,5555.0,ETH,False,,,,,JHFu5Ktct8,homaland_nft,https://www.homaland.org/
30,Labyrinthine Unreal,7110.0,ETH,False,,,,,labyrinthine,LabyrinthUnreal,https://www.labyrinthineunreal.io/
31,Meta Hookahs,1111.0,ETH,True,0.055,,0.055,,282sbZnFkQ,MetaHookahs,https://metahookahs.io
32,METAFLIESCLUB,10000.0,SOL,True,1.5,2022-05-20 11:00:00,1.5,2022-05-20 11:00:00,MdjqPSHj6X,metafliesclub,https://metafliesclub.com
33,Cypher Collection - Collider Craftworks,7780.0,ETH,False,,,,,,,
34,ChillOutBros,5000.0,ETH,False,,,,,R672ejVg6m,Chilloutbrosnft,https://www.chilloutbros.com
35,CyberPunk COMIC,4000.0,ETH,False,,,,,cbgPRy2gWZ,NftZoko,https://comic.cyberpunkfighters.com/
36,Funki Foxes,12000.0,ETH,False,,,,,RmnteYEZ5h,FunkiFoxes,https://funkifoxes.com/
37,HER nft,3333.0,ETH,True,0.04,2022-05-20 00:00:00,0.04,2022-05-20 00:00:00,her-nft,itshernft,https://itsher.art/
38,KinkySol,500.0,SOL,False,,,,,JdMQtnyJ9H,SolKinky,http://kinkysol.art/
39,MafiaBears,9568.0,ETH,False,,,,,Zt4wqQPqfR,MafiaBearsNFT,https://mafiabears.com
40,Minzuki,5000.0,,False,,,,,TBA,minzukinft,https://www.minzukinft.com/
41,MirageLand,5000.0,ETH,False,,,,,ptU4uStCC2,MirageLand_NFT,https://www.mirageland-official.com/
42,RottenVille Bust Sculpture,1500.0,,False,,,,,QeR9yvSWvk,rotten_ville,https://rottenville.io/sculpture/
43,Dreamland Forest,2000.0,SOL,False,,,,,Sg7eHTFDsP,dreamlandforest,https://dreamlandforest.club/
44,Gods of Egypt,7532.0,ETH,False,,,,,4rNUQ2kPHy,GodsofEgyptNFT,https://godsofegypt.io/
45,ApeVampires,6666.0,ETH,False,,,,,KjGwHf4pZr,ApeVampires,https://apevampires.com/
46,Fancy Sloth Club,333.0,SOL,True,0.25,2022-05-21 09:00:00,0.25,2022-05-21 09:00:00,qA3d5a5BWQ,FancySlothClub,https://fancyslothclub.com/
47,Crypto Bulls,555.0,SOL,False,,,,,8KbVuYmjDY,CRPT_Bulls,https://crypto-bulls.netlify.app/
48,Zelenskyy NFT Club,8888.0,ETH,False,,,,,raxn6h9vy5,ZelenskyNFTClub,https://zelenskyynft.club
49,RuDe1s_NFT,8888.0,ETH,False,,,,,zjS8tJyGWw,Rude1s_NFT,https://www.rude1s.com
50,Bad Kid Club,5555.0,ETH,True,0.05,2022-05-21 00:00:00,0.05,2022-05-21 00:00:00,2yTCzKsDfd,badkidclubnft,https://badkid.club/
51,DreamyGirls,4444.0,ETH,True,0.09,2022-05-21 00:00:00,0.09,2022-05-21 00:00:00,r6QeuHPdG8,DreamyGirlsNFT,https://www.dreamygirls.io/
52,Japanese Born Ape Society,10000.0,ETH,False,,,,,jbas,Japanese_BAPES,https://www.japanesebornapesociety.com/
53,NonFun Friends,9006.0,ETH,True,,2022-05-21 00:00:00,,2022-05-21 00:00:00,H5dgU2Sfu3,nonfunfriends,https://www.nonfun.events/friends/
54,Senshi NFT,1000.0,ETH,True,0.08,2022-05-21 00:00:00,0.08,2022-05-21 00:00:00,FWVhP6vKy6,senshinfts,https://senshinft.com
55,Skull Demolition,7777.0,ETH,False,,,,,KW6BMJm2B9,SkullDemolition,http://www.skulldemolition.com
