,date,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online
0,2022-03-04 00:00:00,,,,,,,
1,2022-03-24 00:00:00,,,,,,,
2,2022-04-02 00:00:00,,,,,,,
3,2022-04-09 00:00:00,,,,,,,
4,2022-04-13 00:00:00,,,,,,,
5,2022-04-18 00:00:00,,,,,,,
6,2022-04-19 00:00:00,,,,,,,
7,2022-05-03 00:00:00,0.039,2022-05-10 13:20:00,0.039,2022-05-10 13:20:00,,,
8,2022-05-04 00:00:00,0.039,2022-05-10 13:20:00,0.039,2022-05-10 13:20:00,,,
9,2022-05-05 00:00:00,0.039,2022-05-10 13:20:00,0.039,2022-05-10 13:20:00,,,
