,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,,2022-04-11 13:00:00,,2022-04-11 13:00:00,3132,4267,462,2022-04-02 00:00:00
1,,2022-05-15 13:00:00,,2022-05-15 13:00:00,4127,4330,489,2022-04-09 00:00:00
2,,2022-05-15 13:00:00,,2022-05-15 13:00:00,5225,4419,469,2022-04-13 00:00:00
3,,2022-05-15 13:00:00,,2022-05-15 13:00:00,6016,4555,478,2022-04-18 00:00:00
4,,2022-05-15 13:00:00,,2022-05-15 13:00:00,6001,4555,474,2022-04-19 00:00:00
5,,2022-05-15 13:00:00,,2022-05-15 13:00:00,6068,4556,522,2022-04-20 00:00:00
6,,2022-05-15 13:00:00,,2022-05-15 13:00:00,6151,4545,461,2022-04-22 00:00:00
7,,2022-05-15 13:00:00,,2022-05-15 13:00:00,6390,4480,472,2022-04-25 00:00:00
8,,2022-05-15 13:00:00,,2022-05-15 13:00:00,6389,4458,489,2022-04-27 00:00:00
9,,2022-05-15 13:00:00,,2022-05-15 13:00:00,6433,4455,455,2022-04-29 00:00:00
10,,2022-05-15 13:00:00,,2022-05-15 13:00:00,6444,4870,405,2022-04-30 00:00:00
