,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.15,,0.15,,15100,12592,2590,2022-04-09 00:00:00
1,0.15,,0.15,,16600,12734,2630,2022-04-13 00:00:00
2,0.15,,0.15,,16500,12834,2667,2022-04-18 00:00:00
3,0.15,,0.15,,16500,12828,2673,2022-04-19 00:00:00
4,0.15,,0.15,,16500,12824,2135,2022-04-20 00:00:00
5,0.15,,0.15,,16500,14166,1381,2022-04-22 00:00:00
6,0.15,,0.15,,16500,15188,2668,2022-04-25 00:00:00
7,0.15,,0.15,,16500,15295,2642,2022-04-27 00:00:00
8,0.15,,0.15,,16500,15511,2637,2022-04-29 00:00:00
9,0.15,,0.15,,16600,15663,2640,2022-04-30 00:00:00
