,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.05,2022-04-02 19:00:00,0.05,2022-04-02 19:00:00,5078,,,2022-04-02 00:00:00
1,0.05,,0.05,,5214,,,2022-04-09 00:00:00
2,0.05,,0.05,,5205,,,2022-04-13 00:00:00
3,0.05,,0.05,,5215,,,2022-04-18 00:00:00
4,0.05,,0.05,,5186,,,2022-04-19 00:00:00
5,0.05,,0.05,,5157,,,2022-04-20 00:00:00
6,0.05,,0.05,,5161,,,2022-04-22 00:00:00
7,0.05,,0.05,,5118,,,2022-04-25 00:00:00
8,0.05,,0.05,,5095,,,2022-04-27 00:00:00
9,0.05,,0.05,,5076,,,2022-04-29 00:00:00
10,0.05,,0.05,,5061,,,2022-04-30 00:00:00
