,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.15,,0.15,,144700,42039,6412,2022-04-09 00:00:00
1,0.15,,0.15,,163600,44810,7617,2022-04-13 00:00:00
2,0.15,,0.15,,182500,44562,7360,2022-04-18 00:00:00
3,0.15,,0.15,,183000,44762,7246,2022-04-19 00:00:00
4,0.15,,0.15,,186000,45288,7936,2022-04-20 00:00:00
5,0.15,,0.15,,187100,45391,8265,2022-04-22 00:00:00
6,0.15,,0.15,,190100,48146,9887,2022-04-25 00:00:00
7,0.15,,0.15,,194700,48970,10825,2022-04-27 00:00:00
8,0.15,,0.15,,193400,49703,9808,2022-04-29 00:00:00
9,0.15,,0.15,,194200,50164,9081,2022-04-30 00:00:00
