,date,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online
0,2022-04-02 00:00:00,,2022-04-17 10:23:00,,2022-04-17 10:23:00,,,
1,2022-04-09 00:00:00,,2022-04-17 10:23:00,,2022-04-17 10:23:00,,,
2,2022-04-13 00:00:00,,2022-04-17 10:23:00,,2022-04-17 10:23:00,,,
3,2022-04-18 00:00:00,,,,,,,
4,2022-04-19 00:00:00,,,,,,,
5,2022-04-20 00:00:00,,,,,,,
6,2022-04-22 00:00:00,,,,,,,
7,2022-04-25 00:00:00,,,,,,,
8,2022-04-27 00:00:00,,,,,,,
9,2022-04-29 00:00:00,,,,,,,
10,2022-04-30 00:00:00,,,,,,,
11,2022-05-03 00:00:00,,,,,,,
12,2022-05-04 00:00:00,0.015,,0.015,,,,
13,2022-05-05 00:00:00,0.015,,0.015,,,,
