,date,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online
0,2022-04-18 00:00:00,0.19,,0.19,,,,
1,2022-04-19 00:00:00,0.19,,0.19,,,,
2,2022-04-20 00:00:00,0.19,,0.19,,,,
3,2022-04-22 00:00:00,0.19,,0.19,,,,
4,2022-04-25 00:00:00,0.19,,0.19,,,,
5,2022-04-27 00:00:00,0.19,,0.19,,,,
6,2022-04-29 00:00:00,0.19,,0.19,,,,
7,2022-04-30 00:00:00,0.19,,0.19,,,,
8,2022-05-03 00:00:00,0.19,,0.19,,,,
9,2022-05-04 00:00:00,0.19,,0.19,,,,
10,2022-05-05 00:00:00,0.19,,0.19,,,,
