,twitter,followers
0,DducksNFT,10100
1,thatsrealnifty,1175
2,bitlectro,10700
3,supermetaplus_,3379
4,YakuzaKumiai,15400
5,MutantMoneyNFT,7873
6,SaucyU_nft,4752
7,themetaballs,1529
8,0xPulseNFT,2129
9,PixelSpraysNFT,7937
10,SkygardGame,33700
11,zenft_,16000
12,AtlanticApes,18700
13,PandosPandos1,1251
14,TheNarutoClub,1072
15,LuxurYYachtNFT,340
16,3DAzuki,1544
17,BossBabesNFT,4947
18,metalooptech,3412
19,DegenDoggos_NFT,386
20,fullbellyclub,11000
21,hapegirls,56300
22,Lil_Homie_NFTs,2601
23,ailoverse,40100
24,AlienApeYC,31300
25,,8986
26,CCDCofficial,2959
27,FoodMoon_NFT,19300
28,racing_meta,2861
29,unusualguests,26000
30,DamagedYouthNFT,1305
31,AJAVAnft,579
32,electriceaglesT,132
33,KevinTheMonkey,3262
34,talesofelatora,1445
35,dypfinance,106100
36,pixigans,1053
37,U_APES,10400
38,pompotherobot,392
39,CrypTickzNFT,2509
40,SqwizzNFT,8086
41,ninjabearsNFT,12600
42,degenzgame,6135
43,BlockFriends777,2911
44,GeneticChain,27100
45,royal_crows,8309
46,AvoFrensNFT,5056
47,ChillinApeSC,2634
48,SOCIALDONKEYS,3468
49,StubbornApeNFT,18000
50,boredbootsnft,3787
51,DragonsMidgard,40500
52,kingdomspritez,338
53,Metamongonft,17100
54,lazyfatcats_nft,2300
55,BiancaAlliance,87
56,TheKoalaco1,1478
57,Tricky_Turkey_,1089
58,NFT_Banana_Club,8650
59,,8986
60,HypeHustlersNFT,5804
61,JellyInvaderz,758
62,whaledropio?s=11&t=xMPU4455NKDRDTYZrQ9kcg,99
63,lownlionclub,884
64,thebig_tweet,1930
65,GreedyGekkoHS,1892
66,alpha_batem,1755
67,ApeBaller,6202
68,,8986
69,stickydao,25800
70,TigerClanNFT,1547
71,eagles_warriors,55
72,LilNinjaSnacks,2698
73,MutantSquadNFT,1594
74,RHINOSAVANNANFT,18000
75,mangasocietynft,37400
76,wolfhouse_ny,26
77,AMV_Waifu_HC,20100
78,Stork_Club_NFT,9841
79,OutdoorKitties,325
80,mightymutantnft,316
81,doodleslayernft,751
82,primitive_club,10300
83,projectcygnus_,1271
84,HeadyPipe,573
85,Worldcupapes,5333
86,GorillasInBar,6409
87,gymratelephants,4458
88,metaf1club,33700
89,apesofspace_nft,22200
90,boredsone,19600
91,BallisticFreaks,4694
92,TheWeedez,3003
93,UnifriendsNFT,3716
94,APB_Club,5848
95,champions_ninja,9334
96,terpsmetaclub,606
97,Flyingfoxclub,14
98,AngryFalconNFT,3730
99,SourPicklesNft,21000
100,lnrdefi,85900
101,TreasureSloths,729
102,metaplicant,11700
103,MadVeggies,1516
104,battalionnft,1434
105,themunchiemafia,731
106,OrcHorde,20800
107,9waveslabs,5922
108,SmurfZillazNFT,4728
109,MetaFriendsNFT,26800
110,meta_nomads,10200
111,goodmonkeyz,22800
112,ukiyoplayers,52000
113,Angryfrogsnft,17800
114,theassemblynft,5509
115,MetaSociety2022,5849
116,supgators,561
117,NEONPLEXUS,9908
118,ethxai,22300
119,TurkeysNfts,6381
120,PrickheadsArt,1984
121,Valoriennft,6424
122,mutantsatoshi,5876
123,Wardrobe_Club,4951
124,gadonft,7344
125,metamanor,4844
126,misfitsapenft,12000
127,LambBrawl,558
128,pionauts,5691
129,MadEvolved,10400
130,octaveclub747?t=0MJCPpe3To6UngYlWl_OEQ&s=09,78
131,WDoopsies,6422
132,haddiesbayclub,10400
133,NFTgroovy,960
134,TheUncannyClub,4466
135,SpinalFoxesNFT,2632
136,gameofsilks,13300
137,proudlionsclub,5822
138,GMfrensDAO,2308
139,successmetacity,1324
140,Nft2metaversei,241
141,FeggzNFT,12600
142,drinkingtrees,1338
143,MetaLazySociety,1635
144,CyberZillaz,1325
145,metajewelz,778
146,MonksMeta,7362
147,SolApeGirls,11000
148,nftsumantria,12600
149,origin_beast,1699
150,HedgeFundHyenas,2285
151,SimeonNFT?s=20&t=ifr6L2XHYPY2PYATai4ehg,649
152,AquaHeadNFTclub,3977
153,shield2protocol,32200
154,Crypto_Jutsu,565
155,powersistersnft,5915
156,facex_nft,4951
157,meta_syndicate,5264
158,LetsCrushCancer,913
159,moon_babes,2386
160,ksekainft,15100
161,designerbearNFT,2682
162,projectdreamerz,3675
163,PoC_NFT,21200
164,wafflenft,1594
165,WVG_OFFICIAL,65
166,crypto_cafenfts,475
167,ricracclub,6135
168,pixa_nft,5161
169,WoodMiners,338
170,sixthreseau,144700
171,DinoKidsClub,1211
172,BooThingsNFT,747
173,TrexSapiensOrd,15100
174,CRYPT056,103000
175,ApesGenX,25600
176,doombooNFT,86900
177,cheebsnft,4127
178,flowerlolitanft,5599
179,BooniesSkullNFT,306
180,FinalHumans,1104
181,1_AwesomePossum,459
182,Last_Mayan_NFT,271
183,denizenio,3291
184,myworld_nft,14600
185,PrimoMartians,559
186,allseeinglemon,84
187,zdc_project,71
188,apeventuresnft,1385
189,GlodyKnightsNFT,3745
190,Mermaid_Kraken,3067
191,Meta_Survivors,27900
192,mfmfgirls,5214
193,ZenWarriorNFT,11900
